game_id,moves
0,1 35 37 40 38 50 44 17 23 27 29 38 29 44 29 57 47 10 20 49 13 29 23 16 23 42 28 41 57 34 50 32 30 37 30 23 30 18 54 24 23 26 44 9 17 54 47 33 47 44 47 56 47 20 35 13 31 11 12 23 22 2 26 25 39 35 52 49 33 42 34 22 21 28 35 47 46 35 44 31 13 34 35 30 29 12 21 39 21 35 38 46 45 38 54 57 49 52 62 21 3 62 47 64 63 54 53 3 39 53 45 13 40 47 53 17 11 44 37 40 54 45 46 39 46 37 46 8 6 26 2 33 30 46 28 11 13 51 52 6 5 59 61 54 27 53 47 30 6 47 32 49 40 32 38 6 38 43 45 38 6 2 26 27 36 50 51 5 4 26 2 4 3 19 20 29 20 28 19 13 11 51 44 11 19 44 36 19 11 36 37 11 10 2 3 6 3 45 46 10 18 46 47 40 47 37 45 47 56 52 53 3 35 53 54 35 39 54 63 39 63 45 53 63 55 53 62 55 39 62 53 18 42 53 52 20 19 61 62 19 18 62 63 56 64 52 51 39 55 51 59 42 58 0
1,1 19 21 40 39 51 52 32 30 42 51 57 47 50 44 49 40 34 50 41 57 27 29 47 37 26 19 48 46 11 12 24 23 18 4 40 4 10 4 17 32 19 11 56 54 2 18 54 53 44 34 64 62 34 28 62 61 43 44 37 52 59 52 61 52 42 26 33 61 11 27 53 44 35 44 61 29 50 42 29 61 21 30 39 30 27 45 61 45 28 45 8 6 4 19 6 5 12 13 32 15 19 36 5 4 18 20 9 5 20 12 15 32 45 55 49 33 55 40 57 49 40 25 33 25 36 46 32 38 46 52 38 21 44 45 25 41 42 43 16 15 13 14 23 14 26 30 14 13 30 32 21 6 51 30 41 40 32 33 40 41 33 32 41 40 32 40 49 40 52 46 40 47 46 36 6 12 30 12 5 9 43 44 15 14 36 53 47 56 45 46 9 25 44 45 25 20 46 47 56 49 12 39 13 12 53 38 20 21 45 36 21 24 39 12 24 20 36 29 20 12 29 30 12 11 30 39 11 35 39 31 35 38 31 38 14 13 38 29 13 12 29 20 12 3 20 12 3 2 12 5 2 47 5 4 47 39 0
2,1 19 21 40 39 51 52 32 30 42 51 57 47 50 44 49 40 34 50 41 57 27 29 24 23 26 19 16 15 42 26 17 32 10 27 25 7 11 12 23 22 35 37 30 21 37 38 47 30 12 21 30 13 19 37 22 29 3 4 32 22 37 10 13 28 27 12 28 18 26 18 29 28 12 22 40 22 2 3 33 32 3 27 49 33 18 20 32 5 44 54 9 25 20 28 33 28 10 28 56 55 28 44 25 24 27 33 22 49 33 49 57 49 54 39 49 57 39 24 5 21 44 23 21 35 59 61 35 34 50 59 34 43 24 30 7 42 30 47 57 56 47 53 43 51 23 51 42 51 59 51 64 62 53 47 56 49 51 44 49 40 44 37 40 39 47 30 15 14 30 24 39 40 24 14 8 7 14 24 7 6 4 5 40 32 24 30 32 39 30 15 48 47 15 21 39 32 38 47 32 39 47 48 39 48 21 6 48 40 6 23 40 31 23 38 31 24 38 55 24 15 55 45 15 6 45 62 6 5 62 47 5 14 52 53 14 23 53 54 23 31 37 46 31 40 54 55 40 49 61 62 49 56 46 54 56 65 47 41 0
3,1 35 37 24 22 50 44 8 7 11 13 22 13 3 4 13 4 27 29 32 31 42 21 56 55 59 61 49 56 61 62 25 53 62 63 56 47 10 20 17 23 18 36 16 14 21 12 33 6 36 27 47 29 20 30 6 33 58 61 53 44 51 44 29 2 26 2 57 47 27 20 40 38 61 45 47 30 12 30 23 40 30 48 41 32 45 47 65 49 2 4 40 25 48 39 32 40 47 49 33 49 39 30 9 8 20 38 49 44 38 29 44 4 0
4,1 35 37 57 47 37 38 47 30 10 20 40 39 20 37 48 46 38 47 30 47 37 47 33 47 27 29 32 30 50 44 17 23 19 20 49 31 42 14 25 32 34 50 8 7 14 23 32 23 42 34 41 57 18 54 47 55 54 61 23 14 61 52 49 47 44 38 55 46 3 5 14 41 5 6 41 14 11 12 64 62 52 61 56 54 20 21 14 41 51 53 62 53 61 52 41 62 21 22 31 49 26 27 47 63 27 13 9 17 38 32 17 33 32 49 33 49 13 16 63 64 34 38 46 28 16 23 28 29 2 34 62 48 23 7 29 22 7 35 22 13 38 54 64 56 54 56 57 56 52 38 56 64 34 26 48 55 35 53 13 53 50 42 53 26 42 51 26 53 38 52 55 37 43 44 53 44 51 60 49 46 60 61 46 62 0
5,1 27 29 57 47 19 21 40 39 10 20 49 13 35 36 41 57 50 35 32 30 3 4 13 20 35 20 24 22 29 22 8 6 20 5 17 32 11 13 6 13 4 13 16 15 22 23 32 38 13 14 33 24 18 11 49 33 26 29 38 21 42 21 30 21 29 15 24 40 34 50 47 30 15 22 40 22 5 22 9 17 2 6 21 20 11 4 39 38 36 37 30 24 43 45 24 14 45 38 20 19 4 18 25 53 59 60 53 26 38 39 48 39 22 39 33 25 18 36 64 63 23 24 14 24 39 24 25 24 6 30 26 35 42 34 35 21 30 29 17 25 50 43 21 48 36 18 48 55 37 38 25 41 18 45 24 20 51 52 57 48 29 32 41 40 0
6,1 19 21 57 47 27 29 56 55 10 20 32 30 50 44 49 56 21 30 47 30 35 37 30 20 11 20 24 22 29 30 56 20 18 27 20 2 26 2 48 47 27 63 25 53 44 27 33 6 43 44 53 32 37 38 0
7,1 35 37 40 38 50 44 48 46 27 28 17 23 10 20 57 47 18 54 49 13 37 46 32 30 3 4 13 6 11 13 6 15 54 47 56 47 20 5 41 57 44 61 57 65 42 35 8 6 13 14 23 29 5 15 24 15 4 5 49 57 34 50 25 46 19 20 29 35 26 35 46 53 43 44 53 32 44 45 57 53 51 52 33 57 61 51 9 41 45 38 47 38 2 34 38 37 35 36 57 56 36 15 37 28 34 41 32 41 15 31 41 48 51 45 28 27 42 26 53 52 59 52 56 52 45 51 52 31 26 27 31 22 27 43 48 55 0
8,1 11 12 56 55 18 11 57 47 27 29 49 56 35 36 24 22 29 22 33 6 10 27 6 22 50 44 41 57 42 35 16 15 19 21 25 16 34 50 40 39 3 5 17 7 5 6 49 25 2 5 22 40 26 2 25 33 59 60 16 23 5 4 23 16 42 26 32 31 44 29 39 38 29 14 56 49 11 20 7 22 12 13 22 39 20 11 39 54 6 7 16 23 14 20 40 39 60 61 23 51 61 54 39 60 43 44 60 58 50 43 58 59 27 37 47 53 43 34 53 36 2 18 31 30 21 30 36 46 26 28 46 29 34 26 49 13 18 27 15 14 35 42 13 4 11 4 51 44 28 44 29 44 27 59 44 59 42 35 64 63 54 63 48 46 37 54 9 25 63 64 57 56 54 39 56 64 39 33 25 20 4 13 20 12 33 23 59 53 30 31 53 47 26 19 12 60 35 14 55 54 23 8 54 53 31 32 47 32 14 32 60 59 19 12 53 52 32 46 64 56 8 14 59 63 7 8 63 7 46 37 52 51 37 51 38 37 51 37 56 47 8 9 7 9 37 9 47 46 12 19 46 38 19 27 38 46 27 36 46 39 36 45 39 32 9 30 32 25 45 38 25 32 30 16 32 33 38 31 33 41 31 39 41 33 13 40 33 41 14 31 0
9,1 27 29 57 47 18 45 56 55 35 36 49 56 50 44 41 57 42 35 16 15 34 50 25 16 19 21 32 31 10 20 17 32 26 19 33 41 59 60 40 38 45 59 38 29 44 29 8 7 35 44 16 44 29 44 32 22 2 18 22 37 20 30 9 25 42 26 7 6 44 29 37 22 29 14 47 30 26 30 41 37 30 26 37 19 18 19 49 33 50 42 48 46 14 20 56 20 19 20 33 41 11 12 41 39 43 44 25 41 59 50 55 54 51 53 41 49 42 51 39 47 26 42 46 53 60 53 64 62 53 62 54 53 44 45 47 63 50 43 63 62 42 58 62 58 51 58 57 48 58 51 22 37 20 28 49 65 43 50 65 60 28 29 37 22 45 46 48 47 29 53 47 46 51 60 0
